Тикер;Шаг цены;Комиссия;Начало периода;Конец периода;Индекс начала периода;Индекс конца периода;Полное название стратегии;Сокращенное название стратегии;Описание стратегии
RTS.F;10;2.5;18 12 2020;17 06 2021;16;17;Обратная MonkeyN;Обратная MonkeyN;[ Обратная | MonkeyN | Тип закрытия: FixPercect | N: 100 | Stop: 100 | Уровень ранзака: 3 | % Закрытия: 100 | Фильтр вне ранзака: False | Фильтр выше-ниже: True | Динамический стоп: True ]

Направление;Тип закрытия;Индекс входа;Индекс выхода;Цена входа;Цена выхода;Причина входа;Причина выхода
B;Stop;114950319;114950342;127270;127170;;;
S;Stop;114950223;114951519;127280;127280;;;
S;Stop;114950378;114951638;127190;127290;;;
B;Stop;114952069;114952121;127460;127360;;;
S;Stop;114952166;114952374;127460;127560;;;
B;Stop;114952624;114952678;127520;127520;;;
B;Stop;114952571;114952693;127500;127500;;;
B;Stop;114952674;114952724;127540;127440;;;
S;Stop;114952774;114952844;127530;127630;;;
B;Stop;114952912;114953035;127550;127450;;;
S;Stop;114953345;114953448;127420;127520;;;
S;Stop;114952975;114953622;127580;127580;;;
S;Stop;114953535;114953625;127510;127610;;;
B;Stop;114953650;114953850;127510;127510;;;
S;Stop;114953875;114953954;127590;127590;;;
B;Stop;114953836;114953998;127560;127460;;;
S;Stop;114953945;114954042;127570;127570;;;
B;Stop;114954098;114954343;127500;127500;;;
S;Stop;114954041;114954409;127560;127580;;;
B;Stop;114954182;114954725;127540;127540;;;
S;Stop;114954408;114954753;127590;127620;;;
S;Stop;114954752;114954910;127630;127730;;;
B;Stop;114955277;114955312;127720;127620;;;
B;Stop;114954552;114955454;127570;127570;;;
S;Stop;114955425;114955642;127690;127690;;;
S;Stop;114955615;114955656;127630;127730;;;
B;Stop;114955786;114956059;127710;127710;;;
B;Stop;114956040;114956080;127760;127660;;;
S;Stop;114956218;114956317;127680;127780;;;
B;Stop;114956491;114956573;127790;127690;;;
B;SoftwareClose;114953517;114956622;127420;127580;Фиксированная 1;;
S;Stop;114956788;114956843;127550;127650;;;
S;Stop;114957220;114957381;127550;127650;;;
B;Stop;114957493;114957522;127630;127530;;;
S;Stop;114957541;114957615;127630;127640;;;
